subjid,alpha1,alpha2,beta,tau
101,0.937681754,0.138565949,0.676070099,5.56239858
102,0.530756095,0.213478033,0.65962489,4.538631816
103,0.019779895,0.717811415,0.942959279,3.645832057
104,0.016413247,9.518817577,0.480941794,4.730904495
105,0.623406509,0.305134036,0.644536509,4.513133324
107,0.911008736,0.134259308,0.673656428,5.597488062
108,0.142655114,4.776959376,0.742477389,0.92459198
109,0.497993177,4.327428721,0.167639262,4.674816514
110,0.312639719,0.553417798,0.690591002,6.628038826
111,0.064744532,0.829575858,0.847673636,4.347704412
112,1.179890363,2.105574626,0.505812565,5.594550944
114,0.333591813,0.507390828,0.645898663,6.073876123
115,0.976336761,1.204901938,0.561633408,5.332872707
116,0.197966017,2.722029042,0.827598809,5.247830547
201,0.197683301,2.764869644,0.829334447,5.198733954
202,0.537278436,0.216150184,0.661081831,4.506207905
203,0.195125943,2.750987143,0.82750776,5.226715216
204,0.897672789,0.140611505,0.672905704,5.534079394
205,0.264630131,3.126352695,0.412829069,1.245913459
206,0.659080777,0.317098929,0.641644429,4.543152392
207,0.056273267,0.24275882,0.761399449,3.72833017
208,0.207390957,0.3811416,0.576796385,2.607225571
209,0.185035274,1.680662767,0.756836648,4.379247501
210,0.05416188,0.546489399,0.835940781,5.832595947
211,1.586032391,0.822293158,0.652542924,6.134652679
219,0.021341363,0.254563188,0.848756573,3.741610735
212,0.198049604,2.741329671,0.827966002,5.209162255
213,0.421413998,1.145057016,0.55155621,4.205951996
214,0.070041156,0.719440617,0.822510571,5.832227981
216,0.069777412,0.454624911,0.786544883,6.1033539
